Titel,Untertitel,Link,Beschreibung,Stichworte
"""..., da geht kein Weg dran vorbei!""",Wahlaufruf zur Bundestagswahl 2009 von Dirk Bach,https://www.bpb.de/mediathek/641/-da-geht-kein-weg-dran-vorbei,"Demokratie funktioniert nach einer einfachen Gleichung, zumindest wenn es um Wahlen und die eigene Meinung geht, Dirk Bach hat sie schon jetzt für den 27. September parat.","Wahlen, Bundestagswahl, politisches Engagement, Demokratie"
"""..., geh zur Wahl!""",Wahlaufruf zur Bundestagswahl 2009 von Blumentopf,https://www.bpb.de/mediathek/470/-geh-zur-wahl,Zur Bundestagswahl 2009 hören Sie nun  Wahlwerbung der Partei BLUMENTOPF. Für den Inhalt der Wahlwerbespots sind einzig und allein die Parteien oder politischen Vereinigungen verantwortlich.,"Wahlen, Bundestagswahlen, politisches Engagement, Demokratie"
"""1 like = geht gar nicht"". Der Wandel von Protest im digitalen Zeitalter",Inhalt,https://www.bpb.de/mediathek/298605/1-like-geht-gar-nicht-der-wandel-von-protest-im-digitalen-zeitalter,"Interview mit Lisa Villioth, Universität Siegen","Protest, Internet, Reichweite"
"""2 million people are coming to Yad Vashem, 11million are visiting the website""",Naama Shik auf httpasts://digitalememoryonthenet,https://www.bpb.de/mediathek/869/2-million-people-are-coming-to-yad-vashem-11million-are-visiting-the-website,"Na'ama Shik (Yad Vashem, Jerusalem) gave this speech at the panel ""Global remembrance culture on the net? – Websites and educational offerings internationally"" at the international conference httpasts://digitalmemoryonthenet in Berlin, on April 15, 2","Erinnerungskultur, Geschichte, Internet, Museum, Gedenkstätte, Neue Medien"
"""9 mm für Zionisten""",Antisemitismus in der linken Szene,https://www.bpb.de/mediathek/302001/9-mm-fuer-zionisten,"Interview mit Dr. Martin Kloke, Politikwissenschaftler und Publizist","linke Militanz, linke Szene, Antisemitismus, Antizionismus, Feindseligkeit"
"""Aber natürlich ergreife ich Partei""","Über die Eigentümlichkeiten von Politik und Kunst in Bildungskontexten. Anja Besand, Marie-Luise Lange und Sara Burkhardt diskutieren.",https://www.bpb.de/mediathek/44034/aber-natuerlich-ergreife-ich-partei,"Ein Gespräch dreier Wissenschaftlerinnen aus den Bereichen Kunstpädagogik, Kunsttheorie und Politikdidaktik über politische und kulturelle Bildung.","kulturelle Bildung, politische Bildung, Kunst und Kultur, Bildung"
"""Allein, allein"" … in die Wahlkabine - aber zusammen für die Demokratie",Wahlaufruf zur Bundestagswahl 2009 von Polarkreis 18,https://www.bpb.de/mediathek/303/allein-allein-in-die-wahlkabine-aber-zusammen-fuer-die-demokratie,"""Allein, allein"" … in die Wahlkabine - aber zusammen für die Demokratie: Felix und Silvester von der Rockband Polarkreis 18 rufen gemeinsam im Video-Spot zur Bundestagswahl auf. Ihre Message ist glasklar: ""Geht wählen!""","Bundestagswahl, Wahlen, politisches Engagement, Demokratie"
"""Auch damals waren Fluchterfahrungen wichtig""",Teil 1 des Interviews mit Matthias Grundmann,https://www.bpb.de/mediathek/223637/auch-damals-waren-fluchterfahrungen-wichtig,"Prof. Dr. Matthias Grundmann ist Spezialist auf dem Gebiet der Sozialisationsforschung. Er beschäftigt sich vor Allem mit der Generation der sogenannten ""Kriegskinder"" im Kontext der Erfahrungen von Deutschen im Zweiten Weltkrieg.  Im ersten Teil des","Sozialisation, Kriegskinder, Zweiter Weltkrieg, Krisenbewältigung, Flüchtlinge"
"""Auf einen Espresso mit..."" & Podium 1",Aussiedlung – Beheimatung – Politische Teilhabe. Deutsche aus Russland in Wechselwirkung mit russischsprachigen Gruppen in Deutschland,https://www.bpb.de/mediathek/247099/auf-einen-espresso-mit-podium-1,"Am Morgen des nächsten Tages wurde das Publikum durch Susanne Ulrich im Format ""Auf einen Espresso ..."" begrüßt, anschließend folgte das Podium 1: Integration, Identitäten und Beheimatungsprozesse von Russlanddeutschen: Forschungsstand und Perspektiv","Berlin, Aussiedlung, Beheimatung, Politische Teilhabe, Deutsche aus Russland, Heimat, Identität, Deutsch"
"""Austausch über jüdische Geschichte""",Mirjam Wenzel auf httpasts://digitalmemoryonthenet 15.04.2011,https://www.bpb.de/mediathek/870/austausch-ueber-juedische-geschichte,"Mirjam Wenzel, Jüdisches Museum Berlin, hielt diesen Vortrag beim Panel ""Erinnerung und soziale Netzwerke"" am 15.4.2011 auf der internationalen Konferenz httpasts://digitalmemoryonthenet in Berlin.","Erinnerungskultur, Geschichte, Internet, Neue Medien, Social Media, Jüdische Geschichte"
"""Autonom waren wir ganz sicher nicht""",Inhalt,https://www.bpb.de/mediathek/155814/autonom-waren-wir-ganz-sicher-nicht,"Der Konzeptkünstler Olaf Nicolai spricht über die autonome Kunstszene in der DDR der 1980er Jahre, u.a. über Nischen mit einer anderen Art sozialer Dynamik.","DDR, Kunst und Kultur, Stasi, DDR 1949 - 1990 / Opposition, Marktwirtschaft, Planwirtschaft"
"""Bekämpfung der Korruption""",Peter Eigen im Interview,https://www.bpb.de/mediathek/352/bekaempfung-der-korruption,Der Vertreter von Transparency International macht die Unternehmen der reichen westlichen Staaten für die Korruption in Afrika verantwortlich.,"Korruption, Politische Kriminalität, Wirtschaftsethik"
"""Besser, Sie gehen selbst ...""",Wahlaufruf zur Bundestagswahl 2009 von Sissi Perlinger,https://www.bpb.de/mediathek/643/besser-sie-gehen-selbst-,"""Na, dann Prost Mahlzeit!"" heißt es bei Entertainerin Sissi Perlinger am Bundestagswahlsonntag. Allerdings nur, wenn ein bestimmtes Szenario eintritt. Welches? Das rechnet die Musical-Kabarett- und Schauspiel-Allrounderin ganz genau auf und weiß es z","Wahlen, Bundestagswahl, politisches Engagement, Demokratie"
"""Best-Practice"" Europa",Karl Monsen-Elvik im Interview,https://www.bpb.de/mediathek/536/best-practice-europa,"Karl Monsen-Elvik bedauert die Europaskepsis vieler britischer Medien und wünscht sich, dass Europa zu einem Modell des Zusammenlebens wird.","Zivilgesellschaft, Europäische Integration, politisches Engagement, europäische Union"
"""Between Germanness and Othering - The Process of ""Ossifizierung""","Kathleen Heft, Kultur-, Sozial- und Bildungswissenschaftliche Fakultät, Humboldt-Universität zu Berlin",https://www.bpb.de/mediathek/237529/between-germanness-and-othering-the-process-of-ossifizierung,"Kathleen Heft gibt einen Einblick in ihr Forschungsthema während der Poster Session auf der Deutschlandforschertagung 2016 - ""Children of Transition, Children of War"" vom 3. bis 5. November in Wien.",Deutschlandforschertagung 2016
"""Bis die Sterne zittern""",Lesung von und Diskussion mit Johannes Herwig,https://www.bpb.de/mediathek/302455/bis-die-sterne-zittern,"Lesung von und Diskussion mit Johannes Herwig über sein Debüt ""Bis die Sterne zittern"". Die Geschichte des sechzehnjährigen Harro, der Mitte der 1930er Jahre mit neuen Freunden jenseits der Hitlerjugend Freiheiten findet - Freunde, die zu den heute v","Nationalsozialismus, Hitlerjugend, Leipziger Meuten, Rechtsextremismus, Antisemitismus, Jugendopposition"
"""Breaking the Silence: Results from Inter-Generation Talks on Transition in Germany, Russia and Ukraine""","Olena Pravylo, Congress of Cultural Activists Kiev, Ukraine",https://www.bpb.de/mediathek/237533/breaking-the-silence-results-from-inter-generation-talks-on-transition-in-germany-russia-and-ukraine,"Olena Pravylo gibt einen Einblick in ihr Forschungsthema während der Poster Session auf der Deutschlandforschertagung 2016 - ""Children of Transition, Children of War"" vom 3. bis 5. November in Wien.",Deutschlandforschertagung 2016
"""Children of Transition, Children of War"" - Deutschlandforschertagung 2016",3. bis 5. November 2016 in Wien,https://www.bpb.de/mediathek/237525/children-of-transition-children-of-war-deutschlandforschertagung-2016,"Dokumentation der Deutschlandforschertagung 2016 vom 3. bis 5. November 2016 in Wien: ""Wendekinder, Kriegskinder. Die 'Generation der Transformation' aus europäischer Perspektive"".",Deutschlandforschertagung 2016
