"Address","Content","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keyword 1","Meta Keywords 1 Length","H1-1","H1-1 length","H1-2","H1-2 length","H2-1","H2-1 length","H2-2","H2-2 length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","URL Encoded Address"
"https://www.bpb.de/mediathek/","text/html; charset=utf-8","200","OK","Indexable","","Mediathek | bpb","15","142","In der bpb-Mediathek finden Sie über 2.500 Filme, Videos, Podcasts und Audiomitschnitte zu Themen aus Politik, Gesellschaft und Geschichte. ","140","899","","0","","0","","0","Ein Dokumentarfilm von Raoul Peck","33","I am not your Negro","19","all","","","https://www.bpb.de/mediathek/","","","","","464408","13048","20.67723","0","","6391","3194","100.0","1432","760","16","16","396f8782af165ee5ff94200488ce77ad","0.205","Thu, 04 Jun 2020 12:50:13 GMT","","","https://www.bpb.de/mediathek/"
"https://www.bpb.de/mediathek/197283/antisemitismus-begegnen","text/html; charset=utf-8","200","OK","Indexable","","Antisemitismus begegnen | bpb","29","273","Antisemitismus erscheint in vielen Formen. Dieser Film zeigt, was das eigentlich für Jüdinnen und Juden bedeutet: Diskriminierung auf der Straße, auf dem Schulhof oder im Netz.","176","1116","Antisemitismus, Diskriminierung, Jüdische Geschichte, Kulturelle Identität, Vorurteil, gruppenbezogene Menschenfeindlichkeit","124","","0","","0","Antisemitismus begegnen","23","Ein Infofilm zu Antisemitismus","30","all","","","https://www.bpb.de/mediathek/197283/antisemitismus-begegnen","","","","","131765","1382","9.127786","1","","59","17","0.53","529","460","18","17","2f8ce06a3ddf010bef8ed3d66737e46","0.149","Thu, 04 Jun 2020 13:10:28 GMT","","","https://www.bpb.de/mediathek/197283/antisemitismus-begegnen"
"https://www.bpb.de/mediathek/224443/bpb-film","text/html; charset=utf-8","200","OK","Indexable","","bpb-Film | bpb","14","127","Schon einmal mit politischer Bildung in Berührung gekommen? Im bpb-Zeichentrickfilm von Stefan Eling erklärt der Sprecher der Sendung mit der Maus, Armin Maiwald, die Arbeit der bpb!","182","1174","bpb, Imagefilme","15","bpb-Film","8","","0","bpb-Film","8","Langversion","11","all","","","https://www.bpb.de/mediathek/224443/bpb-film","","","","","125653","1620","10.506315","1","","3195","3194","100.0","538","457","16","16","7289d7e49ba635d1bfad4361c0f08015","0.695","Thu, 04 Jun 2020 13:10:49 GMT","","","https://www.bpb.de/mediathek/224443/bpb-film"
"https://www.bpb.de/mediathek/242819/was-tun-fuer-eine-nachhaltige-zukunft-der-menschheit","text/html; charset=utf-8","200","OK","Indexable","","WAS TUN? Für eine nachhaltige Zukunft der Menschheit | bpb","58","542","Über das Erarbeiten von Konsens als Grundlage für internationale Verträge","73","476","Global Governance","17","","0","","0","WAS TUN? Für eine nachhaltige Zukunft der Menschheit","52","Antworten von Dirk Messner","26","all","","","https://www.bpb.de/mediathek/242819/was-tun-fuer-eine-nachhaltige-zukunft-der-menschheit","","","","","167119","1484","7.5678167","1","","67","21","0.66","549","464","18","17","2da7858d5507ecbe8a0c093a7626d76e","2.681","Thu, 04 Jun 2020 14:50:02 GMT","","","https://www.bpb.de/mediathek/242819/was-tun-fuer-eine-nachhaltige-zukunft-der-menschheit"
"https://www.bpb.de/mediathek/298602/die-sollen-weg-hier-proteste-gegen-fremde","text/html; charset=utf-8","200","OK","Indexable","","""Die sollen weg hier!"" Proteste gegen ""Fremde"" | bpb","52","466","Interview mit Verena Stern, Wissenschaftliche Mitarbeiterin im Bereich Konfliktsoziologie im Projekt ""Willkommen oder beschimpft"", Universität Bielefeld","152","942","Protest, Fremde, Fremdenfeindlichkeit, Gastarbeiter, Geflüchtete","64","","0","","0","""Die sollen weg hier!"" Proteste gegen ""Fremde""","46","Inhalt","6","all","","","https://www.bpb.de/mediathek/298602/die-sollen-weg-hier-proteste-gegen-fremde","","","","","130366","1344","9.056575","1","","50","16","0.5","526","458","18","17","a30ff94957e891ef6384fa72f5799d95","2.665","Thu, 04 Jun 2020 14:50:02 GMT","","","https://www.bpb.de/mediathek/298602/die-sollen-weg-hier-proteste-gegen-fremde"
"https://www.bpb.de/mediathek/254150/remix-africa-in-translation-tansania","text/html; charset=utf-8","200","OK","Indexable","","ReMIX. Africa in Translation: Tansania | bpb","44","388","Das heutige Tansania, Ruanda und Burundi bilden gemeinsam die ehemalige Kolonie Deutsch-Ostafrika. Nicht nur die vorgelagerte Insel Sansibar war für das deutsche Kolonialreich von großer strategischer Bedeutung bei der gewaltsamen Durchdringung des F","250","1647","Kolonialismus, Postkolonialismus, Afrika, Tansania","50","","0","","0","ReMIX. Africa in Translation: Tansania","38","Eine fünfteilige Doku-Serie aus den ehemaligen deutschen Kolonien","65","all","","","https://www.bpb.de/mediathek/254150/remix-africa-in-translation-tansania","","","","","123500","1513","10.580866","1","","43","12","0.38","516","453","16","16","4b74fc6e59186501aad2557c5e6bb1d7","2.227","Thu, 04 Jun 2020 14:50:03 GMT","","","https://www.bpb.de/mediathek/254150/remix-africa-in-translation-tansania"
"https://www.bpb.de/mediathek/258705/udo-lindenberg","text/html; charset=utf-8","200","OK","Indexable","","Udo Lindenberg | bpb","20","189","Lindenberg wurde während eines eintägigen DDR-Aufenthalts für eine FDJ-Friedensveranstaltung von der Stasi observiert. Zitate aus dem angelegten Aktenmaterial.","159","1042","Udo Lindenberg, Stasi, DDR, FDJ","31","","0","","0","Udo Lindenberg","14","Weitere Informationen","21","all","","","https://www.bpb.de/mediathek/258705/udo-lindenberg","","","","","90634","979","9.824662","1","","23","7","0.22","503","449","16","16","fcd94e2a35a5af0aedfad6eb3521e938","0.078","Thu, 04 Jun 2020 14:03:12 GMT","","","https://www.bpb.de/mediathek/258705/udo-lindenberg"
"https://www.bpb.de/mediathek/254309/wo-eingreifen","text/html; charset=utf-8","200","OK","Indexable","","Wo eingreifen? | bpb","20","183","Wie entscheiden lokale Aktivisten, internationale Organisationen und Staatengemeinschaften, in welchen Konflikt sie eingreifen – und wann sie es sein lassen? Soll man seine Ressourcen in die aussichtsreichste oder in die vertrackteste Situation steck","250","1580","Frieden, Weltfrieden, Krieg, Friedenseinsätze, Friedensmissionen, Friedensakteure, Konflikt, Internationale Zusammenarbeit, Verantwortung, Menschenrechte, Krise, Vereinte Nationen, UN, Sicherheitsrat, Internationale Gemeinschaft, Schutzverantwortung","249","","0","","0","Wo eingreifen?","14","Ein Animationsfilm der Wanderausstellung ""Frieden machen""","57","all","","","https://www.bpb.de/mediathek/254309/wo-eingreifen","","","","","131970","1524","9.886917","1","","91","25","0.78","538","470","18","17","c0dbae44b012ebabf1c4504611687059","2.671","Thu, 04 Jun 2020 14:50:03 GMT","","","https://www.bpb.de/mediathek/254309/wo-eingreifen"
"https://www.bpb.de/mediathek/299791/1-eine-region-im-aufbruch-wie-der-arabische-fruehling-alles-veraendert-hat","text/html; charset=utf-8","200","OK","Indexable","","#1 - Eine Region im Aufbruch: Wie der Arabische Frühling alles verändert hat | bpb","82","722","Fieberträume von Freiheit ergreifen die arabische Welt im Januar 2011. Der Frühling ist da, hoffen viele. Endlich bewegt sich etwas. Regime fallen, Kriege beginnen. Ein Teil der alten Ordnung zerbricht. Sie hinterlässt Chaos. Es entstehen aber auch f","250","1573","Arabischer Frühling, Atlas des Arabischen Frühlings, Haythem El-Mekki, Naoual Belakhdar, Mona Shahien, Achref Aouadi, Madian Al Jazehra","135","","0","","0","#1 - Eine Region im Aufbruch: Wie der Arabische Frühling alles verändert hat","76","Atlas des arabischen Frühlings – die Video Edition","50","all","","","https://www.bpb.de/mediathek/299791/1-eine-region-im-aufbruch-wie-der-arabische-fruehling-alles-veraendert-hat","","","","","115166","1408","10.571374","1","","70","20","0.63","521","463","18","17","87687012b1bad78ce2955fc0326e3ca5","0.163","Thu, 04 Jun 2020 13:26:05 GMT","","","https://www.bpb.de/mediathek/299791/1-eine-region-im-aufbruch-wie-der-arabische-fruehling-alles-veraendert-hat"
"https://www.bpb.de/mediathek/290178/ueber-leben-in-demmin","text/html; charset=utf-8","200","OK","Indexable","","Über Leben in Demmin | bpb","26","250","In dem kleinen Ort Demmin in Mecklenburg-Vorpommern nehmen sich kurz vor Ende des Zweiten Weltkriegs hunderte Menschen das Leben. Martin Farkas zeigt, welche Spuren die Traumatisierung bei den Nachgeborenen hinterlassen hat und wie die politische Ins","250","1661","Trauma, Traumatisierung, Tabuisierung, Suizid, Zweiter Weltkrieg, Zweiter Weltkrieg, Rechtsextremismus, Fremdenfeindlichkeit, Deutsche Geschichte seit 1945, Ostdeutschland, DDR, Zeitzeugen","188","","0","","0","Über Leben in Demmin","20","Ein Dokumentarfilm von Martin Farkas","36","all","","","https://www.bpb.de/mediathek/290178/ueber-leben-in-demmin","","","","","83891","1401","14.347609","1","","54","14","0.44","516","459","18","18","c758e8011c89a442090eadea87e8cee3","0.161","Thu, 04 Jun 2020 13:39:47 GMT","","","https://www.bpb.de/mediathek/290178/ueber-leben-in-demmin"
"https://www.bpb.de/mediathek/206877/houen-zo","text/html; charset=utf-8","200","OK","Indexable","","Houen Zo! | bpb","15","141","Bilder vom kriegszerstörten Rotterdam bilden eine bedrückende Kulisse für den Beginn des Films. Zwölf Jahre nach dem massiven Luftangriff der Deutschen feiert die Stadt den Wiederaufbau.","186","1205","Marshallplan, Wiederaufbau, Kriegsfolgen, Nachkriegszeit, 2. Weltkrieg, Luftangriffe","84","","0","","0","Houen Zo!","9","Niederlande 1952, s/w","21","all","","","https://www.bpb.de/mediathek/206877/houen-zo","","","","","152992","1596","8.851358","1","","90","26","0.81","546","466","16","16","a2ed1409a126ee832cd483c712eb2d63","2.776","Thu, 04 Jun 2020 14:50:03 GMT","","","https://www.bpb.de/mediathek/206877/houen-zo"
